Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,323.54,324.89,322.53,324.87,324.87,59253833.0
2020-01-03,321.16,323.64,321.1,322.41,322.41,77783121.0
2020-01-06,320.49,323.73,320.36,323.64,323.64,55761948.0
2020-01-07,323.02,323.54,322.24,322.73,322.73,42854811.0
2020-01-08,322.94,325.78,322.67,324.45,324.45,68434153.0
2020-01-09,326.16,326.73,325.52,326.65,326.65,48569601.0
2020-01-10,327.29,327.46,325.2,325.71,325.71,53057389.0
2020-01-13,326.39,327.96,325.92,327.95,327.95,47262010.0
2020-01-14,327.47,328.62,326.84,327.45,327.45,63036384.0
2020-01-15,327.35,329.02,327.26,328.19,328.19,72056598.0
2020-01-16,329.7,330.92,329.45,330.92,330.92,54050328.0
2020-01-17,331.7,332.18,330.85,331.95,331.95,95846017.0
2020-01-21,330.9,332.18,330.82,331.3,331.3,77742415.0
2020-01-22,332.24,332.95,331.17,331.34,331.34,48914899.0
2020-01-23,330.63,332.17,329.41,331.72,331.72,51962994.0
2020-01-24,332.44,332.53,327.36,328.77,328.77,87578442.0
2020-01-27,323.03,325.12,322.66,323.5,323.5,84062463.0
2020-01-28,325.06,327.85,323.6,326.89,326.89,63833953.0
2020-01-29,328.38,328.63,326.4,326.62,326.62,54040889.0
2020-01-30,324.36,327.91,323.54,327.68,327.68,75491844.0
2020-01-31,327.0,327.17,320.73,321.73,321.73,113845576.0
2020-02-03,323.35,326.16,323.22,324.12,324.12,69242293.0
2020-02-04,328.07,330.01,327.72,329.06,329.06,62573190.0
2020-02-05,332.27,333.09,330.67,332.86,332.86,65951146.0
2020-02-06,333.91,334.19,332.8,333.98,333.98,50359688.0
2020-02-07,332.82,333.99,331.6,332.2,332.2,64139443.0
2020-02-10,331.23,334.75,331.19,334.68,334.68,42070006.0
2020-02-11,336.16,337.02,334.68,335.26,335.26,54864533.0
2020-02-12,336.83,337.65,336.43,337.42,337.42,43992662.0
2020-02-13,335.86,338.12,335.56,337.06,337.06,54501922.0
2020-02-14,337.51,337.73,336.2,337.6,337.6,64582210.0
2020-02-18,336.51,337.67,335.21,336.73,336.73,57342526.0
2020-02-19,337.79,339.08,337.48,338.34,338.34,48814692.0
2020-02-20,337.74,338.64,333.68,336.95,336.95,74163362.0
2020-02-21,335.47,335.81,332.58,333.48,333.48,113788208.0
2020-02-24,323.14,333.56,321.24,322.42,322.42,161088409.0
2020-02-25,323.94,324.61,311.69,312.65,312.65,218913168.0
2020-02-26,314.18,318.11,310.7,311.5,311.5,194773819.0
2020-02-27,305.46,311.56,297.51,297.51,297.51,284353459.0
2020-02-28,288.7,297.89,285.54,296.26,296.26,385764020.0
2020-03-02,298.21,309.16,294.46,309.09,309.09,238703625.0
2020-03-03,309.5,313.84,297.57,300.24,300.24,300139149.0
2020-03-04,306.12,313.1,303.33,312.86,312.86,176613448.0
2020-03-05,304.98,308.47,300.01,302.46,302.46,186366809.0
2020-03-06,293.15,298.78,290.23,297.46,297.46,228667168.0
2020-03-09,275.3,284.19,273.45,274.23,274.23,309417349.0
2020-03-10,284.64,288.52,273.5,288.42,288.42,276444058.0
2020-03-11,280.7,281.94,270.88,274.36,274.36,256416563.0
2020-03-12,256.0,266.66,247.68,248.11,248.11,392220669.0
2020-03-13,263.09,271.48,248.52,269.32,269.32,329566100.0
2020-03-16,241.18,256.9,237.36,239.85,239.85,297240027.0
2020-03-17,245.04,256.17,237.07,252.8,252.8,262070471.0
2020-03-18,236.25,248.37,228.02,240.0,240.0,327597131.0
2020-03-19,239.25,247.38,232.22,240.51,240.51,289322037.0
2020-03-20,242.53,244.47,228.5,228.8,228.8,347158794.0
2020-03-23,228.19,229.68,218.26,222.95,222.95,326025169.0
2020-03-24,234.42,244.1,233.8,243.15,243.15,235494475.0
2020-03-25,244.87,256.35,239.75,246.79,246.79,299430255.0
2020-03-26,249.52,262.8,249.05,261.2,261.2,257632816.0
2020-03-27,253.27,260.81,251.05,253.42,253.42,224341217.0
2020-03-30,255.7,262.43,253.53,261.65,261.65,170961866.0
2020-03-31,260.56,263.33,256.22,257.75,257.75,194881060.0
2020-04-01,247.98,257.66,243.9,246.15,246.15,189554623.0
2020-04-02,245.19,252.68,244.59,251.83,251.83,177660430.0
2020-04-03,250.76,253.32,245.22,248.19,248.19,135561171.0
2020-04-06,257.84,267.0,248.17,264.86,264.86,188061238.0
2020-04-07,274.21,275.03,264.89,265.13,265.13,201427189.0
2020-04-08,267.96,276.0,265.25,274.03,274.03,153774487.0
2020-04-09,277.58,281.2,275.47,278.2,278.2,190282705.0
2020-04-13,277.14,277.51,271.41,275.66,275.66,114839053.0
2020-04-14,280.98,284.9,275.51,283.79,283.79,134143350.0
2020-04-15,277.57,283.94,275.46,277.76,277.76,121775006.0
2020-04-16,279.15,280.03,275.76,279.1,279.1,131798325.0
2020-04-17,285.38,287.3,282.4,286.64,286.64,146684784.0
2020-04-20,282.61,286.79,281.35,281.59,281.59,100109285.0
2020-04-21,276.73,278.04,272.02,273.04,273.04,126385698.0
2020-04-22,278.35,281.0,276.91,279.1,279.1,93524584.0
2020-04-23,280.49,283.94,278.75,279.08,279.08,104709693.0
2020-04-24,280.73,283.7,278.5,282.97,282.97,85165953.0
2020-04-27,285.12,288.27,284.62,287.05,287.05,77896608.0
2020-04-28,291.02,291.4,285.4,285.73,285.73,105269985.0
2020-04-29,291.53,294.88,290.41,293.21,293.21,118745579.0
2020-04-30,291.71,293.32,288.59,290.48,290.48,122901701.0
2020-05-01,285.31,290.66,281.52,282.79,282.79,125180028.0
2020-05-04,280.74,283.9,279.13,283.57,283.57,80873213.0
2020-05-05,286.64,289.25,283.71,286.19,286.19,79569938.0
2020-05-06,288.04,288.46,283.78,284.25,284.25,73632628.0
2020-05-07,287.75,289.78,287.13,287.68,287.68,75250412.0
2020-05-08,291.09,292.95,289.86,292.44,292.44,76622128.0
2020-05-11,290.34,294.0,289.88,292.5,292.5,79514231.0
2020-05-12,293.79,294.24,286.52,286.67,286.67,95870786.0
2020-05-13,286.06,287.19,278.96,281.6,281.6,144721099.0
2020-05-14,278.95,285.11,272.99,284.97,284.97,121977890.0
2020-05-15,282.37,286.33,281.34,286.28,286.28,111146276.0
2020-05-18,293.05,296.75,292.7,295.0,295.0,120320229.0
2020-05-19,294.35,296.2,291.95,291.97,291.97,95189316.0
2020-05-20,295.82,297.87,295.57,296.93,296.93,85861691.0
2020-05-21,296.79,297.67,293.69,294.88,294.88,78293925.0
2020-05-22,294.57,295.63,293.22,295.44,295.44,63958200.0
2020-05-26,301.93,302.19,295.46,299.08,299.08,88951442.0
2020-05-27,302.12,303.57,296.87,303.53,303.53,104817449.0
2020-05-28,304.65,306.84,302.24,302.97,302.97,90767807.0
2020-05-29,302.46,304.96,299.47,304.32,304.32,119265702.0
2020-06-01,303.62,306.2,303.06,305.55,305.55,56779836.0
2020-06-02,306.55,308.13,305.1,308.08,308.08,74267162.0
2020-06-03,310.24,313.22,309.94,312.18,312.18,92567574.0
2020-06-04,311.11,313.0,309.08,311.36,311.36,75794363.0
2020-06-05,317.23,321.27,317.16,319.34,319.34,150524674.0
2020-06-08,320.22,323.41,319.63,323.2,323.2,73641217.0
2020-06-09,320.3,323.28,319.36,320.79,320.79,77479228.0
2020-06-10,321.42,322.39,318.22,319.0,319.0,95000766.0
2020-06-11,311.46,312.15,300.01,300.61,300.61,209243560.0
2020-06-12,308.24,309.08,298.6,304.21,304.21,194678879.0
2020-06-15,298.02,308.28,296.74,307.05,307.05,135782724.0
2020-06-16,315.48,315.64,307.67,312.96,312.96,137627502.0
2020-06-17,314.07,314.39,310.86,311.66,311.66,83398944.0
2020-06-18,310.0,312.3,309.51,311.78,311.78,80828658.0
2020-06-19,314.17,314.38,306.53,308.64,308.64,135549624.0
2020-06-22,307.99,311.05,306.75,310.62,310.62,74649389.0
2020-06-23,313.49,314.5,311.61,312.05,312.05,68471246.0
2020-06-24,309.84,310.51,302.1,304.09,304.09,132813492.0
2020-06-25,303.47,307.64,301.28,307.35,307.35,89467968.0
2020-06-26,306.16,306.39,299.42,300.05,300.05,127961017.0
2020-06-29,301.41,304.61,298.93,304.46,304.46,79773260.0
2020-06-30,303.99,310.2,303.82,308.36,308.36,113394772.0
2020-07-01,309.57,311.89,309.07,310.52,310.52,72396542.0
2020-07-02,314.24,315.7,311.51,312.23,312.23,69344217.0
2020-07-06,316.37,317.68,315.56,317.05,317.05,61713828.0
2020-07-07,315.38,317.52,313.37,313.78,313.78,82909963.0
2020-07-08,314.61,316.3,312.7,316.18,316.18,54638596.0
2020-07-09,316.84,317.1,310.68,314.38,314.38,83354158.0
2020-07-10,314.31,317.88,312.76,317.59,317.59,57550365.0
2020-07-13,320.13,322.71,314.13,314.84,314.84,102997484.0
2020-07-14,313.3,319.76,312.0,318.92,318.92,93656951.0
2020-07-15,322.41,323.04,319.26,321.85,321.85,87196524.0
2020-07-16,319.79,321.28,319.09,320.79,320.79,54622520.0
2020-07-17,321.88,322.57,319.74,321.72,321.72,62774911.0
2020-07-20,321.43,325.13,320.62,324.32,324.32,56308849.0
2020-07-21,326.45,326.93,323.94,325.01,325.01,57498967.0
2020-07-22,324.62,327.2,324.5,326.86,326.86,57792915.0
2020-07-23,326.47,327.23,321.48,322.96,322.96,75737989.0
2020-07-24,320.95,321.99,319.25,320.88,320.88,73766597.0
2020-07-27,321.63,323.41,320.77,323.22,323.22,48292970.0
2020-07-28,322.43,323.64,320.85,321.17,321.17,57494979.0
2020-07-29,322.12,325.73,322.07,325.12,325.12,48454159.0
2020-07-30,321.9,324.41,319.64,323.96,323.96,61861714.0
2020-07-31,325.9,326.63,321.33,326.52,326.52,85210755.0
2020-08-03,328.32,329.62,327.73,328.79,328.79,53077948.0
2020-08-04,327.86,330.06,327.86,330.06,330.06,41917893.0
2020-08-05,331.47,332.39,331.18,332.11,332.11,42866354.0
2020-08-06,331.48,334.46,331.13,334.33,334.33,43679447.0
2020-08-07,333.28,334.88,332.3,334.57,334.57,57308270.0
2020-08-10,335.06,335.77,332.95,335.57,335.57,44282089.0
2020-08-11,336.85,337.54,332.01,332.8,332.8,69601087.0
2020-08-12,335.44,338.28,332.84,337.44,337.44,53826128.0
2020-08-13,336.61,338.25,335.83,336.83,336.83,41816146.0
2020-08-14,336.41,337.42,335.62,336.84,336.84,47260390.0
2020-08-17,337.94,338.34,336.85,337.91,337.91,35480974.0
2020-08-18,338.34,339.1,336.61,338.64,338.64,38733908.0
2020-08-19,339.05,339.61,336.62,337.23,337.23,68054244.0
2020-08-20,335.36,338.8,335.22,338.28,338.28,42207826.0
2020-08-21,337.92,339.72,337.55,339.48,339.48,55106628.0
2020-08-24,342.12,343.0,339.45,342.92,342.92,48588662.0
2020-08-25,343.53,344.21,342.27,344.12,344.12,38463381.0
2020-08-26,344.76,347.86,344.17,347.57,347.57,50790237.0
2020-08-27,348.51,349.9,346.53,348.33,348.33,58034142.0
2020-08-28,349.44,350.72,348.15,350.58,350.58,48588940.0
2020-08-31,350.35,351.3,349.06,349.31,349.31,66099183.0
2020-09-01,350.21,352.71,349.24,352.6,352.6,54999325.0
2020-09-02,354.67,358.75,353.43,357.7,357.7,69540035.0
2020-09-03,355.87,356.38,342.59,345.39,345.39,148011129.0
2020-09-04,346.13,347.83,334.87,342.57,342.57,139156281.0
2020-09-08,336.71,342.64,332.88,333.21,333.21,114465322.0
2020-09-09,337.55,342.46,336.61,339.79,339.79,91462290.0
